external_name;canonical_name;match_score;status
12 Oz Dw Hc;;0.0;unmatched
12 Oz Plastic Cold Brew Tierra Cup;;0.0;unmatched
12 Oz-And Up- Java Jacket;;0.0;unmatched
12/16/20 Oz Cold Brew Cup Lid;;0.0;unmatched
12/16/20 Oz Sip Lids;;0.0;unmatched
16 Oz Dw Hc;;0.0;unmatched
16 Oz Plastic Cold Brew Tierra Cup;;0.0;unmatched
20 Bags Dek Bar Ground;;0.0;unmatched
20 Oz Dw Hc;;0.0;unmatched
20 Oz Plastic Cold Brew Tierra Cup;;0.0;unmatched
3150 - Profiteroles Glass;;0.0;unmatched
4 Oz Hot Cup;;0.0;unmatched
4 Oz Lid;;0.0;unmatched
52442 - Curved Butter Croissant;;0.0;unmatched
8 Oz Dw Hc;;0.0;unmatched
8 Oz Lid;;0.0;unmatched
Addwater Waffle Flour 6∕5 Bags;;0.0;unmatched
Almond-Filled Croissant;;0.0;unmatched
Almondine;;0.7;unmatched
Apple Danish;;0.0;unmatched
Avocado Cheesecake;Cheesecake Avocado;0.533;auto
Bin 13330Cake Selva Nera 12Sl;;0.0;unmatched
Biocaf Espresso Cleaning Powder 500Ml;;0.0;unmatched
Biocaf Grinder Claening Tablets 234G;;0.0;unmatched
Biocaf Milk Frother Cleaning Liquid 1L;;0.0;unmatched
Birthday Cake/Confetti Flavor Pack (5.23Oz +3.77Oz);;0.0;unmatched
Blueberry Cheesecake-Style Danish;Blueberry Cheesecake Danish;0.667;auto
Box 100 C. Blue Res Tierra Alteco;;0.0;unmatched
Box 100 C. Blue Top Class;;0.0;unmatched
Butter Pecan Sprint;;0.0;unmatched
Cacao Muffin;;0.0;unmatched
Cappuccino Cake;Cake Cappuccino;0.667;auto
Caramel Almond Delicacy;;0.0;unmatched
Caramel Pecan Bar;;0.0;unmatched
Carbon'S Maple Flavored Syrup- 1 Gallon;;0.0;unmatched
Carrot Cake;;0.0;unmatched
Case 100 C. Blue Res Tierra Selection;;0.0;unmatched
Case 12 Bgs Dek Bar 500G;;0.0;unmatched
Case 12 Pack Decaff Filter 500G;;0.0;unmatched
Case 6 Bags Gr Riserva Filt Dark 1000G;;0.0;unmatched
Case 6 Bags Gran Espres 1 Kg;;0.0;unmatched
Case 6 Bags Reserva Tierra Select 1Kg;;0.0;unmatched
Case 6 Bags Soft Reserva Tierra Brazil;;0.0;unmatched
Case 6 Basg Gran Riserva 1Kg;;0.0;unmatched
Case 6 Box 20 Japanese Sencha;;0.0;unmatched
Case 6 Box 20 Organic Earl Grey Supreme;;0.0;unmatched
Case 6 Box 20 Organic English Breakfast;;0.0;unmatched
Case 6 Box Chamomile;;0.0;unmatched
Case 6 Pc Res Tierra Brasil Blend;;0.0;unmatched
Case 6 Pc Res Tierra Col;;0.0;unmatched
Case 6 S.P Res Tierra Col Flt;;0.0;unmatched
Case 6 Soft Packs Classico;;0.0;unmatched
Case 6 Soft Packs Gr. Aroma 340;;0.0;unmatched
Case 6 Soft Packs Gr. Selezione;;0.0;unmatched
Case 6 Soft Packs Perfetto 340;;0.0;unmatched
Cheesecake Alle Fragole;Cheesecake Strawberry;0.585;auto
Cheesecake Brownie Square;Cheesecake Brownie;0.837;auto
Cherry And Greek Yogurt Danish;Cherry Greek Yogurt Danish;0.679;auto
Chocolate Chip Croissant Twist - Large;;0.0;unmatched
Chocolate Croissant;Chocolate Croissant;0.706;auto
Chocolate Eclair;Chocolate Eclair;0.812;auto
Chocolate Flavor Pack Ind Bags (30 Bags Per Case);;0.0;unmatched
Chocolate Fondant;Cake Chocolate Fondant;0.872;auto
Chocolate Ganache Cheesecake;Cheesecake Chocolate Ganache;0.607;auto
Chocolate Mousse Glass;Chocolate Mousse Glass;0.684;auto
Chocolate Sprint;Chocolate Sprint;0.75;auto
Chocolate Temptation Precut;Cake Chocolate Temptation;0.769;auto
Chocolate Truffle Cake;Cake Chocolate Truffle;0.649;auto
Ciabatta Tradizionale;;0.0;unmatched
Cinnamon Roll Flavor Pack;Cinnamon Roll;0.684;auto
Clearly Cold Cleaner;;0.5;unmatched
Coconut Ripieno;Coconut Syrup;0.714;auto
Coffee Eclair;;0.0;unmatched
Cold Brew Bag 1 Gal 7:1;Cold Brew;0.562;auto
Cornetto All'Albicocca  (Apricot Croissant);;0.0;unmatched
Cornetto Blueberry & Chocolate Chips Vegan;Croissant Blueberry & Chocolate Chips Vegan;0.571;auto
Cornetto Mandorla (Almond Croissant);;0.0;unmatched
Cornetto Re B. Glassato Albicocca (Glazed Apricot Croissant);;0.0;unmatched
Cornetto Re B. Pistacchio (Pistachio Croissant);;0.0;unmatched
Cream Cheese Danish;Cheese Danish;0.774;auto
Creme Brulee - In Ramekin;;0.0;unmatched
Curved Croissant - Medium;All Butter Curved Croissant;0.585;auto
Decadent Cinnamon Brioche;Cinnamon Roll;0.565;auto
Description;;0.0;unmatched
Drip Filter;;0.0;unmatched
Dulce De Leche Cheesecake;Cheesecake Dulce de Leche;0.56;auto
Espresso Cup Without Saucer Blu C;;0.0;unmatched
Espresso Filter;;0.0;unmatched
Expo Mix 24 Pc Ground Soft Pack;;0.0;unmatched
Filter Gourmet;;0.0;unmatched
Focaccia 4.8Oz;Focaccia;0.727;auto
Focaccia Evoo;Focaccia;0.762;auto
Frutti Di Bosco (Mixed Berry Tart) Precut;;0.0;unmatched
Gran Riserva Coffee;;0.5;unmatched
Guava Danish;;0.0;unmatched
Lav Plast Stirrers;;0.0;unmatched
Leek & Parmesan Bistro;Leek and Parmesan Danish;0.609;auto
Lemon Blueberry Crumb Cheesecake;Cheesecake Lemon Blueberry Crumb;0.746;auto
Lemon Danish;Lemon Danish;0.609;auto
Limoncello Mascarpone Cake;;0.0;unmatched
Macaron French Collection;Macarons French;0.7;auto
Mango Sprint;;0.0;unmatched
Maple Pecan Danish;Maple Pecan Danish;0.611;auto
Margherita Bistro By Bridor;;0.0;unmatched
Maritozzo 90Gr*12P;;0.0;unmatched
Mini Bomboloni Cacao Nocciola;;0.0;unmatched
Mini Carrot Cake - Gf;;0.0;unmatched
Mini Cheesecake Alle Fragole;Cheesecake Strawberry;0.522;auto
Mini Croissant;All Butter Curved Mini Croissant;0.6;auto
Mini Pain Au Chocolat;Chocolate Croissant;0.55;auto
Mini Red Velvet;Cake Red Velvet;0.733;auto
Muffin Classico;Muffin Classico;0.815;auto
Multigrain Muffin;Multigrain Muffin;0.545;auto
Napkins;;0.667;unmatched
None Purchased;;0.0;unmatched
Organic Cappuccino Cold Brew;Cold Brew;0.605;auto
Organic Classic Cold Brew;Cold Brew;0.6;auto
Organic Double Oat Cold Brew;Cold Brew;0.605;auto
Organic Nitro Cold Brew;Nitro Cold Brew;0.789;auto
Pack Italian Roast Ground Coffee 340 G;;0.0;unmatched
Perfect Chocolatine;Chocolate Croissant;0.686;auto
Perfect Croissant;;0.0;unmatched
Pineapple Ripieno;Pineapple Syrup;0.632;auto
"Pinsa - Single Portion - 8"" X 6""";;0.0;unmatched
"Pinsa Classica Flatbread - 12"" X 8""";;0.0;unmatched
Pinsa Margherita;Pinsa Margherita;1.0;exact
Pinsa Round Flatbread;;0.0;unmatched
Pistacchio Muffin;;0.0;unmatched
Pistachio Cheesecake;Cheesecake Pistachio;0.606;auto
Pistachio Profiteroles;Pistachio Profiteroles;0.444;auto
Pistachio Verde Primavera;;0.0;unmatched
Plain Croissant;All Butter Croissant;0.581;auto
Pumpkin Spice Cheesecake-Style Danish;;0.0;unmatched
Raspberry Cheesecake-Style Danish;Raspberry Cream Cheese Danish;0.6;auto
Raspberry Passion Fruit Cake;Cake Raspberry Passion Fruit;0.6;auto
Red Velvet;Cake Red Velvet;0.8;auto
Red Velvet Flavor Pack Ind Bags (30 Per Case);;0.0;unmatched
Ricotta And Pistachio Cake Precut;Cake Ricotta and Pistachio;0.712;auto
Rosemary & Olive Oil Focaccia;;0.0;unmatched
Rustic Ciabatta 3X8;;0.0;unmatched
Sicilian Cannoli;Sicilian Cannoli;0.703;auto
Single Bottle Prem. Grid Conditioner- Bottle;;0.0;unmatched
Sleeves 8 Oz;;0.0;unmatched
Spinach & Feta Bistro By Bridor;;0.0;unmatched
Strawberry Cheesecake-Style Danish;Strawberry Danish;0.557;auto
