product;size;cost_usd;Real price
A Siciliana Aranciata;Standard;1,340;3.95
A Siciliana Limonata;Standard;1,600;3.95
A Siciliana Mandarino;Standard;1,600;3.95
A Siciliana Melograno;Standard;1,940;3.95
Acqua Panna;Standard;1,840;3.95
Affogato;Standard;1,670;5.55
All Butter Croissant;Standard;1,620;4.85
Almond Croissant;Standard;1,730;5.2
Apple Butter Danish;Standard;2,140;6.4
Apple Juice;Standard;3,370;5,000
Apple Square Danish;Standard;0,710;2.15
Apple Tropicana Juice;Standard;1,600;3.25
Banana Nut Muffin;Standard;1,840;5.5
Batter;Standard;0,600;0,000
Berries and Cream Twist Danish;Standard;2,390;7.15
Black River Pear Juice;Standard;2,800;3.95
Blueberry Cheesecake Danish;Standard;1,810;5.45
Blueberry Scone;Standard;1,050;3.15
Boba Tea Coconutty;Small;2,600;5,000
Boba Tea Coconutty;Medium;2,980;5,000
Boba Tea Coconutty;Large;3,360;5,000
Boba Tea Espresso Rose;Small;2,120;5,000
Boba Tea Espresso Rose;Medium;2,270;5,000
Boba Tea Espresso Rose;Large;2,420;5,000
Boba Tea Pure Matcha;Small;7,010;5.95
Boba Tea Pure Matcha;Medium;8,450;5.95
Boba Tea Pure Matcha;Large;9,900;5.95
Brewed Coffee;Standard;0,600;0,000
Brewed Tea;Standard;0,600;0,000
Bundaberg Ginger Beer;Standard;1,800;3.65
Cacao Muffin;Standard;2,290;6.85
Caffe Americano;Small;2,900;5.05
Caffe Americano;Medium;3,400;5.05
Caffe Americano;Large;3,900;5.05
Caffe Au Lait;Small;2,480;4.05
Caffe Au Lait;Medium;2,870;4.05
Caffe Au Lait;Large;3,260;4.05
Caffe Latte;Small;2,170;5.85
Caffe Latte;Medium;2,490;5.85
Caffe Latte;Large;2,800;5.85
Cake Torta Nocciola;Standard;4,400;8.25
Cappuccino;Small;1,930;6.25
Cappuccino;Medium;2,180;6.25
Cappuccino;Large;2,440;6.25
Cappuccino Cake;Standard;4,020;7.95
Cappuccino Foam;Standard;0,710;0,000
Carrot Cake;Standard;3,910;7.25
Cheddar and Crisp Sandwich;Standard;3,230;6.95
