id,name,category,purchase_price,purchase_unit,usage_unit,conversion_factor,yield_percentage,current_price,status
1,Milk,dairy,5.2000,1 gal,ml,3785.000000,100.000,5.2000,active
2,Almond Milk,dairy,31.1100,case,ml,11356.000000,100.000,31.1100,active
3,Coconut Milk,dairy,31.5000,Case 12 × 32 oz,ml,11356.000000,100.000,31.5000,active
4,Cream Cheese,dairy,38.4500,100 units,unit,100.000000,100.000,38.4500,active
5,Cheese Cheddar Sliced,dairy,41.6500,case,unit,400.000000,100.000,41.6500,active
6,Cheese Mozzarella Sliced,dairy,45.5400,case,unit,123.000000,100.000,45.5400,active
7,Crumbled Blue Cheese,dairy,37.7500,case,g,4535.000000,100.000,37.7500,active
8,Greek Yogurt,dairy,46.9500,case 6 x 32oz,ml,5678.000000,100.000,46.9500,active
9,Vanilla Gelato,dairy,222.9700,case,g,28.350000,100.000,222.9700,active
10,Chocolate Gelato,dairy,204.1600,case,unit,144.000000,100.000,204.1600,active
11,Coconut Flakes,specialty,8.3900,case,g,283.000000,97.000,8.3900,active
12,Cold Brew,coffee,485.0000,1 gal,ml,3785.000000,100.000,485.0000,active
13,Brewed Coffee,coffee,7.9300,1.5 gal,ml,5678.000000,100.000,7.9300,active
14,Nitro Cold Brew,coffee,36.0000,1 gal,oz,128.000000,100.000,36.0000,active
15,Chai Tea Concentrate,tea,6.7500,bottle,ml,750.000000,98.000,6.7500,active
16,Tea Bag,tea,0.2400,3 gal,gallon,3.000000,100.000,0.2400,active
17,Green Tea,tea,32.4000,case 6 x 20 units,unit,120.000000,98.000,32.4000,active
18,Matcha,tea,377.5000,case,g,1000.000000,98.000,377.5000,active
19,Vanilla Syrup,syrups,39.9900,1 L,ml,1000.000000,98.000,39.9900,active
20,Rose Syrup,syrups,6.7400,bottle x 750 ml,ml,750.000000,98.000,6.7400,active
21,Coconut Syrup,syrups,6.7500,bottle,ml,750.000000,98.000,6.7500,active
22,Hazelnut Syrup,syrups,6.7500,bottle 750 ml,ml,750.000000,98.000,6.7500,active
23,Dragon Fruit Syrup,syrups,6.7500,bottle,ml,750.000000,98.000,6.7500,active
24,White Lotus,fruit_concentrate,29.7100,bottle 64 oz,oz,64.000000,98.000,29.7100,active
25,Strawberry Fruit Fusion,fruit_concentrate,19.0000,bottle 64 oz,ml,1893.000000,98.000,19.0000,active
