ingredient_name,manufacturer_name,distributor_name,external_name,external_code,purchase_unit,units_per_pack
Strawberry Cheesecake,Bindi,,Cheesecake Alle Fragole,0026P,Case 14 units,14.0
Strawberry Cheesecake,Bindi,Food Related,Cheesecake Alle Fragole,GG-7536,Case 14 units,14.0
Strawberry Cheesecake,Bindi,Food Related,Cheesecake Alle Fragole,GG-7536 - NEW,Case 14 units,14.0
Strawberry Cheesecake,Bindi,French Bakery,Cheesecake Alle Fragole,CHEESECAKE ALLE FRAGOLE(PC 14),Case 14 units,14.0
Strawberry Cheesecake,Bindi,Greco & Sons,Cheesecake Alle Fragole,517291,Case 14 units,14.0
Strawberry Cheesecake,Bindi,Pointe Dairy,Cheesecake Alle Fragole,80026,Case 14 units,14.0
Strawberry Cheesecake,Bindi,Primizie,Cheesecake Alle Fragole,P- 0026P,Case 14 units,14.0
Strawberry Cheesecake,Bindi,IGF,Cheesecake Alle Fragole,26,Case 14 units,14.0
Traditional Cheesecake,Bindi,Pointe Dairy,Traditional New York Cheesecake,83300,Case 14 units,14.0
Chocolate Fondant Cake,Bindi,French Bakery,Chocolate Fondant,CHOCOLATE FONDANT (PC 16),Case 16 units,16.0
Chocolate Fondant Cake,Bindi,Primizie,Chocolate Fondant,P- 0040P,Case 16 units,16.0
Chocolate Fondant Cake,Bindi,,Chocolate Fondant,0040P,Case 16 units,16.0
Chocolate Ganache Cheesecake,Bindi,Food Related,Chocolate Ganache Cheesecake,GG-7531,Case 16 units,16.0
Chocolate Ganache Cheesecake,Bindi,French Bakery,Chocolate Ganache Cheesecake,CHOC. GANACHE CHEESECAKE(PC16),Case 16 units,16.0
Chocolate Ganache Cheesecake,Bindi,Primizie,Chocolate Ganache Cheesecake,P- 0043P,Case 16 units,16.0
Chocolate Ganache Cheesecake,Bindi,,Chocolate Ganache Cheesecake,0043P,Case 16 units,16.0
Chocolate Temptation Cake,Bindi,,Chocolate Temptation Precut,103,Case 12 units,12.0
Chocolate Temptation Cake,Bindi,Food Related,Chocolate Temptation Precut,GG-7373,Case 12 units,12.0
Chocolate Temptation Cake,Bindi,French Bakery,Chocolate Temptation Precut,T&S CHOCOLATE TEMPTATION (PC12),Case 12 units,12.0
Chocolate Temptation Cake,Bindi,Greco & Sons,Chocolate Temptation Precut,517515,Case 12 units,12.0
Chocolate Temptation Cake,Bindi,Pointe Dairy,Chocolate Temptation Precut,80103,Case 12 units,12.0
Chocolate Temptation Cake,Bindi,Primizie,Chocolate Temptation Precut,P- 103,Case 12 units,12.0
Chocolate Temptation Cake,Bindi,Food Related,Chocolate Temptation Precut,GG-7373-NEW,Case 12 units,12.0
Chocolate Temptation Cake,Bindi,Food Related,Chocolate Temptation Precut,GG-7373-4/06/26,Case 12 units,12.0
Ricotta and Pistachio Cake,Bindi,,Ricotta And Pistachio Cake Precut,146,Case 12 units,12.0
Ricotta and Pistachio Cake,Bindi,Food Related,Ricotta And Pistachio Cake Precut,GG-7370,Case 16 units,16.0
Ricotta and Pistachio Cake,Bindi,French Bakery,Ricotta And Pistachio Cake Precut,T&S RICOTTA& PISTACHIO CAKE (12 PC),Case 12 units,12.0
Ricotta and Pistachio Cake,Bindi,Food Related,Ricotta And Pistachio Cake Precut,GG-7370-NEW,Case 16 units,16.0
Ricotta and Pistachio Cake,Bindi,Food Related,Ricotta And Pistachio Cake Precut,GG-7370-4/06/26,Case 16 units,16.0
Chocolate Croissant,Bindi,Food Related,Mini Pain Au Chocolat,GG-7549,Case 150 units,150.0
Chocolate Croissant,Bindi,French Bakery,Mini Pain Au Chocolat,MINI BINDI PAIN AU CHOCOLAT (150/cs),Case 150 units,150.0
Chocolate Croissant,Bindi,Greco & Sons,Mini Pain Au Chocolat,517219,Case 150 units,150.0
Chocolate Croissant,Bindi,Food Related,Mini Pain Au Chocolat,GG-7549-3/26,Case 150 units,150.0
Chocolate Croissant,Bindi,Food Related,Mini Pain Au Chocolat,GG-7549- 4/06,Case 150 units,150.0
Raspberry Passion Fruit Cake,Bindi,,Raspberry Passion Fruit Cake,713,Case 12 units,12.0
Strawberry Cheesecake,Bindi,,Mini Cheesecake Alle Fragole,1026,Case 16 units,16.0
Sicilian Cannoli,Bindi,Food Related,Sicilian Cannoli,GG-7547,Case 10 units,10.0
Sicilian Cannoli,Bindi,Primizie,Sicilian Cannoli,P- 1032,Case 10 units,10.0
Sicilian Cannoli,Bindi,Food Related,Sicilian Cannoli,GG-7547-03/25,Case 10 units,10.0
Vegan Croissant,Bindi,Greco & Sons,Vegan Croissant Vuoto,511369,Case 48 units,48.0
All Butter Croissant,Bindi,,Plain Croissant,1222,Case 50 units,50.0
All Butter Croissant,Bindi,Food Related,Plain Croissant,GG-7430,Case 50 units,50.0
All Butter Croissant,Bindi,French Bakery,Plain Croissant,RTB BINDI CROISSANT (50/cs),Case 50 units,50.0
All Butter Croissant,Bindi,Greco & Sons,Plain Croissant,517170,Case 50 units,50.0
All Butter Croissant,Bindi,Pointe Dairy,Plain Croissant,80247,Case 50 units,50.0
All Butter Croissant,Bindi,Primizie,Plain Croissant,P-1222P,Case 50 units,50.0
All Butter Croissant,Bindi,,Plain Croissant,BIND1222,Case 50 units,50.0
All Butter Croissant,Bindi,IGF,Plain Croissant,247,Case 50 units,50.0
All Butter Croissant,Bindi,Food Related,Plain Croissant,GG-7430-NEW,Case 50 units,50.0
All Butter Croissant,Bindi,Food Related,Plain Croissant,GG-7430-03/25,Case 50 units,50.0
Chocolate Croissant,Bindi,,Chocolate Croissant,1223,Case 48 units,48.0
Chocolate Croissant,Bindi,Food Related,Chocolate Croissant,GG-7429,Case 48 units,48.0
Chocolate Croissant,Bindi,Greco & Sons,Chocolate Croissant,517171,Case 48 units,48.0
