ingredient_name,manufacturer_name,distributor_name,recipe_unit,purchase_qty,recipe_qty,notes
Cold Brew,Bindi,,ml,1.0,3785.41,1.0 units/case = 1.0gal
Cold Brew,Bindi,,g,12.0,6480.0,12.0 units/case = 6.48kg
Nitro Cold Brew,Bindi,,g,12.0,5620.0,12.0 units/case = 5.62kg
Chocolate Sprint,PreGel,,unit,12.0,12.0,unit only
Vanilla Syrup,PreGel,,unit,12.0,12.0,unit only
White Base Sprint,PreGel,,unit,12.0,12.0,unit only
Strawberry Sprint,PreGel,,unit,8.0,8.0,unit only
Cinnamon Roll,Golden Waffles,,unit,30.0,30.0,unit only
Milk,,,L,1,3.78,1 1 gal = 3.78 L (from raw/ingredients.xlsx)
Almond Milk,,,L,1,11.3562,1 Case 12 × 32 oz = 11.3562 L (from raw/ingredients.xlsx)
Coconut Milk,,,L,1,11.3562,1 Case 12 × 32 oz = 11.3562 L (from raw/ingredients.xlsx)
Cream Cheese,,,unit,1,100.0,1 100 units = 100.0 unit (from raw/ingredients.xlsx)
Cheese Cheddar Sliced,,,unit,1,1.0,1 unit = 1.0 unit (from raw/ingredients.xlsx)
Cheese Mozzarella Sliced,,,unit,1,1.0,1 unit = 1.0 unit (from raw/ingredients.xlsx)
Crumbled Blue Cheese,,,g,1,2267.0,1 Container 5 lb = 2267.0 g (from raw/ingredients.xlsx)
Greek Yogurt,,,oz,1,32.0,1 Container 32 oz = 32.0 oz (from raw/ingredients.xlsx)
Vanilla Gelato,,,unit,1,1.0,1 unit = 1.0 unit (from raw/ingredients.xlsx)
Chocolate Gelato,,,unit,1,1.0,1 unit = 1.0 unit (from raw/ingredients.xlsx)
Coconut Flakes,,,g,1,283.0,1 Bag 10 oz = 283.0 g (from raw/ingredients.xlsx)
Cold Brew,,,oz,1,128.0,1 1 gal = 128.0 oz (from raw/ingredients.xlsx)
Brewed Coffee,,,L,1,5.6781,1 1.5 gal = 5.6781 L (from raw/ingredients.xlsx)
Nitro Cold Brew,,,oz,1,128.0,1 1 gal = 128.0 oz (from raw/ingredients.xlsx)
Chai Tea Concentrate,,,ml,1,1000.0,1 1 L = 1000.0 ml (from raw/ingredients.xlsx)
Tea Bag,,,gallon,1,3.0,1 3 gal = 3.0 gallon (from raw/ingredients.xlsx)
Green Tea,,,oz,1,10.0,1 10 oz = 10.0 oz (from raw/ingredients.xlsx)
Matcha,,,g,1,1000.0,1 Bag 1 kg = 1000.0 g (from raw/ingredients.xlsx)
Vanilla Syrup,,,ml,1,1000.0,1 1 L = 1000.0 ml (from raw/ingredients.xlsx)
Rose Syrup,,,ml,1,1000.0,1 1 L = 1000.0 ml (from raw/ingredients.xlsx)
Coconut Syrup,,,ml,1,1000.0,1 1 L = 1000.0 ml (from raw/ingredients.xlsx)
Hazelnut Syrup,,,ml,1,1000.0,1 1 L = 1000.0 ml (from raw/ingredients.xlsx)
Dragon Fruit Syrup,,,ml,1,1000.0,1 1 L = 1000.0 ml (from raw/ingredients.xlsx)
White Lotus,,,L,1,1.89,1 0.5 gal = 1.89 L (from raw/ingredients.xlsx)
Strawberry Fruit Fusion,,,L,1,1.89,1 0.5 gal = 1.89 L (from raw/ingredients.xlsx)
Blue Raspberry Fruit Fusion,,,L,1,1.89,1 0.5 gal = 1.89 L (from raw/ingredients.xlsx)
Mango Passion Fruit Fusion,,,L,1,1.89,1 0.5 gal = 1.89 L (from raw/ingredients.xlsx)
Pina Colada Fruit Fusion,,,L,1,1.89,1 0.5 gal = 1.89 L (from raw/ingredients.xlsx)
Watermelon Fruit Fusion,,,L,1,1.89,1 0.5 gal = 1.89 L (from raw/ingredients.xlsx)
Orange Creamsicle Fruit Fusion,,,L,1,1.89,1 0.5 gal = 1.89 L (from raw/ingredients.xlsx)
Cream Base,,,L,1,1.89,1 0.5 gal = 1.89 L (from raw/ingredients.xlsx)
Strawberry Fruit Puree,,,ml,1,1000.0,1 1 L = 1000.0 ml (from raw/ingredients.xlsx)
Chocolate Sauce,,,oz,1,64.0,1 Bottle 64 oz = 64.0 oz (from raw/ingredients.xlsx)
Pesto,,,oz,1,608.0,1 Canister 38 lb = 608.0 oz (from raw/ingredients.xlsx)
Mustard,,,oz,1,420.0,1 Case 420 oz = 420.0 oz (from raw/ingredients.xlsx)
Mayonnaise,,,oz,1,2048.0,1 Case 4 × 4 gal = 2048.0 oz (from raw/ingredients.xlsx)
Balsamic Vinegar,,,L,1,5.0,1 5 L = 5.0 L (from raw/ingredients.xlsx)
Lemon Juice,,,ml,1,5678.0,1 1.5 gal = 5678.0 ml (from raw/ingredients.xlsx)
Olive Oil,,,ml,1,12000.0,1 Case 4 X 3 L = 12000.0 ml (from raw/ingredients.xlsx)
Vanilla Powder,,,lb,1,3.0,1 Canister 3 lb = 3.0 lb (from raw/ingredients.xlsx)
Chocolate Powder,,,lb,1,3.0,1 Canister 3 lb = 3.0 lb (from raw/ingredients.xlsx)
Taro Powder,,,g,1,1000.0,1 Bag 2.2 lb = 1000.0 g (from raw/ingredients.xlsx)
Icing Sugar,,,lb,1,10.0,1 Box 10 lb = 10.0 lb (from raw/ingredients.xlsx)
Whey Protein,,,g,1,2267.0,1 Container 5 lb = 2267.0 g (from raw/ingredients.xlsx)
Tapioca Pearls,,,oz,1,48.0,1 Case 3 lb = 48.0 oz (from raw/ingredients.xlsx)
Crushed Oreo,,,g,1,454.0,1 1 lb = 454.0 g (from raw/ingredients.xlsx)
Honey Oat Granola,,,oz,1,48.0,1 Case 4 × 12 oz = 48.0 oz (from raw/ingredients.xlsx)
Chia Seeds,,,lb,1,5.0,1 Bag 5 lb = 5.0 lb (from raw/ingredients.xlsx)
Cooking Spray,,,g,1,482.0,1 Can 17 oz = 482.0 g (from raw/ingredients.xlsx)
Orange Food Coloring,,,ml,1,236.0,1 Bottle 8 oz = 236.0 ml (from raw/ingredients.xlsx)
Seasoning Mix,,,g,1,283.0,1 Bag 10 oz = 283.0 g (from raw/ingredients.xlsx)
Water,,,L,1,3.78,1 1 gal = 3.78 L (from raw/ingredients.xlsx)
Club Soda,,,ml,1,1000.0,1 1 L = 1000.0 ml (from raw/ingredients.xlsx)
Arugula,,,lb,1,4.0,1 Bag 4 lb = 4.0 lb (from raw/ingredients.xlsx)
Sliced Tomato,,,g,1,454.0,1 lb = 454.0 g (from raw/ingredients.xlsx)
Basil,,,oz,1,16.0,1 Container 1 lb = 16.0 oz (from raw/ingredients.xlsx)
Avocado,,,unit,1,1.0,1 unit = 1.0 unit (from raw/ingredients.xlsx)
Dried Oregano,,,oz,1,24.0,1 Case 1.5 lb = 24.0 oz (from raw/ingredients.xlsx)
Capers,,,g,1,907.0,1 Package 2 lb = 907.0 g (from raw/ingredients.xlsx)
Sliced Pickles,,,unit,1,400.0,1 1 gal = 400.0 unit (from raw/ingredients.xlsx)
Scrambled Egg Patty,,,unit,1,1.0,1 unit = 1.0 unit (from raw/ingredients.xlsx)
Turkey Bacon,,,unit,1,1.0,1 unit = 1.0 unit (from raw/ingredients.xlsx)
Turkey Sausage Patty,,,unit,1,1.0,1 unit = 1.0 unit (from raw/ingredients.xlsx)
Smoked Salmon,,,lb,1,1.0,1 lb = 1.0 lb (from raw/ingredients.xlsx)
Chicken Breast Grilled,,,lb,1,1.0,1 lb = 1.0 lb (from raw/ingredients.xlsx)
Proscuitto,,,unit,1,1.0,1 unit = 1.0 unit (from raw/ingredients.xlsx)
Bread,,,unit,1,1.0,1 unit = 1.0 unit (from raw/ingredients.xlsx)
Focaccia,Bindi,Greco & Sons,unit,1,5.0,1 case/pack = 5.0 units — all refs same conversion; specific mfr/dist added to resolve ISR ambiguity
Focaccia,Bridor,Greco & Sons,unit,1,5.0,1 case/pack = 5.0 units — all refs same conversion; specific mfr/dist added to resolve ISR ambiguity
Focaccia,Bridor,Pointe Dairy,unit,1,5.0,1 case/pack = 5.0 units — all refs same conversion; specific mfr/dist added to resolve ISR ambiguity
Focaccia,Bridor,Food Related,unit,1,5.0,1 case/pack = 5.0 units — all refs same conversion; specific mfr/dist added to resolve ISR ambiguity
Focaccia,Bridor,TCW,unit,1,5.0,1 case/pack = 5.0 units — all refs same conversion; specific mfr/dist added to resolve ISR ambiguity
Focaccia,Bridor,French Bakery,unit,1,5.0,1 case/pack = 5.0 units — all refs same conversion; specific mfr/dist added to resolve ISR ambiguity
Pinsa,,,unit,1,22.0,1 unit = 22.0 unit (from raw/ingredients.xlsx)
Pinsa Margherita,Bindi,Food Related,unit,1,22.0,1 unit = 22.0 units — all refs same conversion; specific mfr/dist added to resolve ISR ambiguity
Pinsa Margherita,Bindi,,unit,1,22.0,1 unit = 22.0 units — all refs same conversion; specific mfr/dist added to resolve ISR ambiguity
Pinsa Margherita,Bindi,Greco & Sons,unit,1,22.0,1 unit = 22.0 units — all refs same conversion; specific mfr/dist added to resolve ISR ambiguity
Plain Bagel,,,unit,1,1.0,1 unit = 1.0 unit (from raw/ingredients.xlsx)
Everything Bagel,,,unit,1,1.0,1 unit = 1.0 unit (from raw/ingredients.xlsx)
Cinnamon Raisin Bagel,,,unit,1,1.0,1 unit = 1.0 unit (from raw/ingredients.xlsx)
Chocolate Croissant,,,unit,1,1.0,1 unit = 1.0 unit (from raw/ingredients.xlsx)
All Butter Croissant,,,unit,1,1.0,1 unit = 1.0 unit (from raw/ingredients.xlsx)
Almond Croissant,,,unit,1,1.0,1 unit = 1.0 unit (from raw/ingredients.xlsx)
Pistachio Croissant,,,unit,1,1.0,1 unit = 1.0 unit (from raw/ingredients.xlsx)
Glazed Apricot Croissant,,,unit,1,1.0,1 unit = 1.0 unit (from raw/ingredients.xlsx)
Spinach Kale and Cheese Croissant,,,unit,1,1.0,1 unit = 1.0 unit (from raw/ingredients.xlsx)
Doughnut Croissant,,,unit,1,1.0,1 unit = 1.0 unit (from raw/ingredients.xlsx)
Spinach and Feta Danish,,,unit,1,1.0,1 unit = 1.0 unit (from raw/ingredients.xlsx)
Cheese Danish,,,unit,1,1.0,1 unit = 1.0 unit (from raw/ingredients.xlsx)
Maple Pecan Danish,,,unit,1,1.0,1 unit = 1.0 unit (from raw/ingredients.xlsx)
Apple Butter Danish,,,unit,1,1.0,1 unit = 1.0 unit (from raw/ingredients.xlsx)
Spinach Ricotta Danish,,,unit,1,1.0,1 unit = 1.0 unit (from raw/ingredients.xlsx)
Cherry Greek Yogurt Danish,,,unit,1,1.0,1 unit = 1.0 unit (from raw/ingredients.xlsx)
Blueberry Cheesecake Danish,,,unit,1,1.0,1 unit = 1.0 unit (from raw/ingredients.xlsx)
Leek and Parmesan Danish,,,unit,1,1.0,1 unit = 1.0 unit (from raw/ingredients.xlsx)
Lemon Danish,,,unit,1,1.0,1 unit = 1.0 unit (from raw/ingredients.xlsx)
Guava Danish,,,unit,1,1.0,1 unit = 1.0 unit (from raw/ingredients.xlsx)
Apple Square Danish,,,unit,1,1.0,1 unit = 1.0 unit (from raw/ingredients.xlsx)
Tomato and Olive Danish,,,unit,1,1.0,1 unit = 1.0 unit (from raw/ingredients.xlsx)
Strawberry Danish,,,unit,1,1.0,1 unit = 1.0 unit (from raw/ingredients.xlsx)
Berries and Cream Twist Danish,,,unit,1,1.0,1 unit = 1.0 unit (from raw/ingredients.xlsx)
Raspberry Cream Cheese Danish,,,unit,1,1.0,1 unit = 1.0 unit (from raw/ingredients.xlsx)
Cheese Square Danish,,,unit,1,1.0,1 unit = 1.0 unit (from raw/ingredients.xlsx)
Cinnamon Roll,,,unit,1,1.0,1 unit = 1.0 unit (from raw/ingredients.xlsx)
Blueberry Scone,,,unit,1,1.0,1 unit = 1.0 unit (from raw/ingredients.xlsx)
