scope_type,scope_code,ingredient_name,manufacturer_name,distributor_name,priority,valid_from,assigned_by,change_reason,notes
store,6-DT-MI,Brownie Cheesecake,Bindi,Pointe Dairy,1,2026-04-17,etl_migration_2026,initial_load,
store,1-FV-CA,Pinsa Margherita,Bindi,,1,2026-04-04,etl_migration_2026,initial_load,
store,1-FV-CA,All Butter Croissant,Bindi,,1,2026-04-04,etl_migration_2026,initial_load,
store,1-FV-CA,Chocolate Croissant,Bindi,,1,2026-04-04,etl_migration_2026,initial_load,
store,6-DT-MI,Chocolate Croissant,Bindi,Pointe Dairy,1,2026-04-09,etl_migration_2026,initial_load,
store,6-DT-MI,All Butter Croissant,Bindi,Pointe Dairy,1,2026-04-09,etl_migration_2026,initial_load,
store,6-DT-MI,Cake Torta Nocciola,Bindi,Pointe Dairy,1,2026-04-09,etl_migration_2026,initial_load,
store,6-DT-MI,Multigrain Muffin,Bindi,Pointe Dairy,1,2026-04-09,etl_migration_2026,initial_load,
store,3-TM-FL,Chocolate Temptation Cake,Bindi,French Bakery,1,2026-04-09,etl_migration_2026,initial_load,
store,3-TM-FL,All Butter Croissant,Bindi,French Bakery,1,2026-04-09,etl_migration_2026,initial_load,
store,7-ED-TX,Strawberry Cheesecake,Bindi,Food Related,1,2026-04-08,etl_migration_2026,initial_load,
store,7-ED-TX,Red Velvet Cake,Bindi,Food Related,1,2026-04-08,etl_migration_2026,initial_load,
store,7-ED-TX,Tiramisu With Ladyfingers,Bindi,Food Related,1,2026-04-08,etl_migration_2026,initial_load,
store,2-LB-CA,All Butter Croissant,Bindi,,1,2026-04-10,etl_migration_2026,initial_load,
store,2-LB-CA,Chocolate Croissant,Bindi,,1,2026-04-10,etl_migration_2026,initial_load,
store,2-LB-CA,Cake Torta Nocciola,Bindi,,1,2026-04-10,etl_migration_2026,initial_load,
store,2-LB-CA,All Butter Curved Mini Croissant,Bindi,,1,2026-04-15,etl_migration_2026,initial_load,
store,3-TM-FL,All Butter Curved Mini Croissant,Bindi,French Bakery,1,2026-04-15,etl_migration_2026,initial_load,
store,7-ED-TX,Chocolate Croissant,Bindi,Food Related,1,2026-04-15,etl_migration_2026,initial_load,
store,3-TM-FL,Ricotta and Pistachio Cake,Bindi,French Bakery,1,2026-04-09,etl_migration_2026,initial_load,
store,3-TM-FL,Tiramisu With Ladyfingers,Bindi,French Bakery,1,2026-04-09,etl_migration_2026,initial_load,
store,1-FV-CA,Strawberry Cheesecake,Bindi,,1,2026-01-03,etl_migration_2026,initial_load,
store,1-FV-CA,Chocolate Temptation Cake,Bindi,,1,2026-01-03,etl_migration_2026,initial_load,
store,3-TM-FL,Chocolate Eclair,Bindi,French Bakery,1,2026-04-15,etl_migration_2026,initial_load,
store,1-FV-CA,Tiramisu With Ladyfingers,Bindi,,1,2026-01-03,etl_migration_2026,initial_load,
store,1-FV-CA,Pistachio Cheesecake,Bindi,,1,2026-01-03,etl_migration_2026,initial_load,
store,5-BK-CA,Strawberry Cheesecake,Bindi,Primizie,1,2026-01-05,etl_migration_2026,initial_load,
store,5-BK-CA,Chocolate Fondant Cake,Bindi,Primizie,1,2026-01-05,etl_migration_2026,initial_load,
store,5-BK-CA,Chocolate Ganache Cheesecake,Bindi,Primizie,1,2026-01-05,etl_migration_2026,initial_load,
store,5-BK-CA,Chocolate Temptation Cake,Bindi,Primizie,1,2026-01-05,etl_migration_2026,initial_load,
store,5-BK-CA,Sicilian Cannoli,Bindi,Primizie,1,2026-01-05,etl_migration_2026,initial_load,
store,5-BK-CA,Tiramisu,Bindi,Primizie,1,2026-01-05,etl_migration_2026,initial_load,
store,6-DT-MI,Strawberry Cheesecake,Bindi,Pointe Dairy,1,2026-04-14,etl_migration_2026,initial_load,
store,7-ED-TX,Macarons French,Bindi,Food Related,1,2026-04-22,etl_migration_2026,initial_load,
store,7-ED-TX,Dulce de Leche Cheesecake,Bindi,Food Related,1,2026-04-22,etl_migration_2026,initial_load,
store,7-ED-TX,All Butter Croissant,Bindi,Food Related,1,2026-04-22,etl_migration_2026,initial_load,
store,11-SA-TX,Vanilla Eclair,Bindi,Food Related,1,2026-04-21,etl_migration_2026,initial_load,
store,11-SA-TX,Chocolate Croissant,Bindi,Food Related,1,2026-04-14,etl_migration_2026,initial_load,
store,11-SA-TX,All Butter Croissant,Bindi,Food Related,1,2026-04-14,etl_migration_2026,initial_load,
store,11-SA-TX,Red Velvet Cake,Bindi,Food Related,1,2026-04-14,etl_migration_2026,initial_load,
store,11-SA-TX,Pistachio Cheesecake,Bindi,Food Related,1,2026-04-14,etl_migration_2026,initial_load,
store,11-SA-TX,Dulce de Leche Cheesecake,Bindi,Food Related,1,2026-04-14,etl_migration_2026,initial_load,
store,3-TM-FL,Red Velvet Cake,Bindi,French Bakery,1,2026-04-30,etl_migration_2026,initial_load,
store,7-ED-TX,Sicilian Cannoli,Bindi,Food Related,1,2026-05-05,etl_migration_2026,initial_load,
store,7-ED-TX,Chocolate Temptation Cake,Bindi,Food Related,1,2026-05-05,etl_migration_2026,initial_load,
store,1-FV-CA,Tiramisu,Bindi,,1,2026-05-02,etl_migration_2026,initial_load,
store,7-ED-TX,Pistachio Cheesecake,Bindi,Food Related,1,2026-05-13,etl_migration_2026,initial_load,
store,7-ED-TX,Chocolate Ganache Cheesecake,Bindi,Food Related,1,2026-05-13,etl_migration_2026,initial_load,
store,11-SA-TX,Tiramisu,Bindi,Food Related,1,2026-05-09,etl_migration_2026,initial_load,
store,7-ED-TX,Chocolate Eclair,Bindi,Food Related,1,2026-05-20,etl_migration_2026,initial_load,
store,7-ED-TX,Tiramisu Toasted Almond,Bindi,Food Related,1,2026-05-20,etl_migration_2026,initial_load,
store,1-FV-CA,Red Velvet Cake,Bindi,,1,2026-05-19,etl_migration_2026,initial_load,
store,5-BK-CA,Cappuccino Cake,Bindi,Primizie,1,2026-01-05,etl_migration_2026,initial_load,
store,5-BK-CA,Dulce de Leche Cheesecake,Bindi,Primizie,1,2026-01-05,etl_migration_2026,initial_load,
store,5-BK-CA,Pistachio Cheesecake,Bindi,Primizie,1,2026-01-05,etl_migration_2026,initial_load,
store,5-BK-CA,Chocolate Eclair,Bindi,Primizie,1,2026-01-05,etl_migration_2026,initial_load,
store,5-BK-CA,Macarons French,Bindi,Primizie,1,2026-01-05,etl_migration_2026,initial_load,
store,7-ED-TX,Tiramisu,Bindi,Food Related,1,2026-01-07,etl_migration_2026,initial_load,
store,3-TM-FL,Cake Torta Nocciola,Bindi,French Bakery,1,2026-01-08,etl_migration_2026,initial_load,
store,3-TM-FL,Vanilla Eclair,Bindi,French Bakery,1,2026-01-08,etl_migration_2026,initial_load,
store,12-DB-MI,Traditional Cheesecake,Bindi,Pointe Dairy,1,2026-01-14,etl_migration_2026,initial_load,
store,12-DB-MI,Chocolate Temptation Cake,Bindi,Pointe Dairy,1,2026-01-14,etl_migration_2026,initial_load,
store,12-DB-MI,Tiramisu,Bindi,Pointe Dairy,1,2026-01-14,etl_migration_2026,initial_load,
store,12-DB-MI,Red Velvet Cake,Bindi,Pointe Dairy,1,2026-01-14,etl_migration_2026,initial_load,
store,12-DB-MI,Tres Leches Cake,Bindi,Pointe Dairy,1,2026-01-14,etl_migration_2026,initial_load,
store,14-SC-IL,Vegan Croissant,Bindi,Greco & Sons,1,2026-01-14,etl_migration_2026,initial_load,
store,14-SC-IL,Strawberry Cheesecake,Bindi,Greco & Sons,1,2026-01-14,etl_migration_2026,initial_load,
store,14-SC-IL,Chocolate Temptation Cake,Bindi,Greco & Sons,1,2026-01-14,etl_migration_2026,initial_load,
store,14-SC-IL,Chocolate Croissant,Bindi,Greco & Sons,1,2026-01-14,etl_migration_2026,initial_load,
store,8-WV-OH,Chocolate Eclair,Bindi,Greco & Sons,1,2026-01-13,etl_migration_2026,initial_load,
store,13-BL-IL,Tiramisu,Bindi,Greco & Sons,1,2026-01-13,etl_migration_2026,initial_load,
store,2-LB-CA,Tiramisu With Ladyfingers,Bindi,,1,2026-01-24,etl_migration_2026,initial_load,
store,13-BL-IL,Chocolate Croissant,Bindi,Greco & Sons,1,2026-01-16,etl_migration_2026,initial_load,
store,10-BL-IL,Tiramisu,Bindi,Greco & Sons,1,2026-01-19,etl_migration_2026,initial_load,
store,14-SC-IL,Cake Torta Nocciola,Bindi,Greco & Sons,1,2026-01-14,etl_migration_2026,initial_load,
store,8-WV-OH,Vanilla Eclair,Bindi,Greco & Sons,1,2026-01-14,etl_migration_2026,initial_load,
store,10-BL-IL,Chocolate Eclair,Bindi,Greco & Sons,1,2026-01-19,etl_migration_2026,initial_load,
store,4-WC-DC,All Butter Croissant,Bindi,,1,2026-01-20,etl_migration_2026,initial_load,
store,13-BL-IL,All Butter Croissant,Bindi,Greco & Sons,1,2026-01-19,etl_migration_2026,initial_load,
store,13-BL-IL,Pistachio Cheesecake,Bindi,Greco & Sons,1,2026-01-20,etl_migration_2026,initial_load,
store,13-BL-IL,Red Velvet Cake,Bindi,Greco & Sons,1,2026-01-20,etl_migration_2026,initial_load,
store,12-DB-MI,All Butter Croissant,Bindi,Pointe Dairy,1,2026-01-21,etl_migration_2026,initial_load,
store,12-DB-MI,Lemon Blueberry Crumb Cheesecake,Bindi,Pointe Dairy,1,2026-01-21,etl_migration_2026,initial_load,
store,5-BK-CA,All Butter Croissant,Bindi,Primizie,1,2026-01-22,etl_migration_2026,initial_load,
store,5-BK-CA,Chocolate Croissant,Bindi,Primizie,1,2026-01-22,etl_migration_2026,initial_load,
store,5-BK-CA,Pineapple Syrup,Bindi,Primizie,1,2026-01-22,etl_migration_2026,initial_load,
store,5-BK-CA,Coconut Syrup,Bindi,Primizie,1,2026-01-22,etl_migration_2026,initial_load,
store,5-BK-CA,Red Velvet Cake,Bindi,Primizie,1,2026-01-22,etl_migration_2026,initial_load,
store,5-BK-CA,Vanilla Eclair,Bindi,Primizie,1,2026-01-22,etl_migration_2026,initial_load,
store,10-BL-IL,All Butter Croissant,Bindi,Greco & Sons,1,2026-01-23,etl_migration_2026,initial_load,
store,10-BL-IL,Chocolate Croissant,Bindi,Greco & Sons,1,2026-01-23,etl_migration_2026,initial_load,
store,2-LB-CA,Raspberry Passion Fruit Cake,Bindi,,1,2026-01-31,etl_migration_2026,initial_load,
store,12-DB-MI,Chocolate Truffle Cake,Bindi,Pointe Dairy,1,2026-01-21,etl_migration_2026,initial_load,
store,13-BL-IL,Chocolate Eclair,Bindi,Greco & Sons,1,2026-01-22,etl_migration_2026,initial_load,
store,14-SC-IL,Dulce de Leche Cheesecake,Bindi,Greco & Sons,1,2026-01-14,etl_migration_2026,initial_load,
store,14-SC-IL,Macarons French,Bindi,Greco & Sons,1,2026-01-14,etl_migration_2026,initial_load,
store,14-SC-IL,All Butter Croissant,Bindi,Greco & Sons,1,2026-01-26,etl_migration_2026,initial_load,
store,14-SC-IL,Tiramisu,Bindi,Greco & Sons,1,2026-01-26,etl_migration_2026,initial_load,
