ingredient_name,manufacturer_name,distributor_name,list_price,qargo_price,currency_code,price_unit,valid_from,source,created_by
Strawberry Cheesecake,Bindi,,39.34,39.34,USD,per case,2026-01-02,bindi_products_db_2026,etl_migration_2026
Strawberry Cheesecake,Bindi,Food Related,37.44,37.44,USD,per case,2026-01-03,bindi_products_db_2026,etl_migration_2026
Strawberry Cheesecake,Bindi,French Bakery,39.0,39.0,USD,per case,2026-01-05,bindi_products_db_2026,etl_migration_2026
Strawberry Cheesecake,Bindi,Greco & Sons,38.99,38.99,USD,per case,2026-01-06,bindi_products_db_2026,etl_migration_2026
Strawberry Cheesecake,Bindi,Pointe Dairy,39.34,39.34,USD,per case,2026-01-07,bindi_products_db_2026,etl_migration_2026
Strawberry Cheesecake,Bindi,Primizie,39.34,39.34,USD,per case,2026-01-08,bindi_products_db_2026,etl_migration_2026
Strawberry Cheesecake,Bindi,IGF,39.34,39.34,USD,per case,2026-01-09,bindi_products_db_2026,etl_migration_2026
Traditional Cheesecake,Bindi,Pointe Dairy,32.21,32.21,USD,per case,2026-01-10,bindi_products_db_2026,etl_migration_2026
Chocolate Fondant Cake,Bindi,French Bakery,50.12,48.97,USD,per case,2026-01-11,bindi_products_db_2026,etl_migration_2026
Chocolate Fondant Cake,Bindi,Primizie,48.97,48.97,USD,per case,2026-01-12,bindi_products_db_2026,etl_migration_2026
Chocolate Fondant Cake,Bindi,,48.97,48.97,USD,per case,2026-01-13,bindi_products_db_2026,etl_migration_2026
Chocolate Ganache Cheesecake,Bindi,Food Related,42.22,42.22,USD,per case,2026-01-21,bindi_products_db_2026,etl_migration_2026
Chocolate Ganache Cheesecake,Bindi,French Bakery,39.0,39.0,USD,per case,2026-01-22,bindi_products_db_2026,etl_migration_2026
Chocolate Ganache Cheesecake,Bindi,Primizie,42.22,42.22,USD,per case,2026-01-23,bindi_products_db_2026,etl_migration_2026
Chocolate Ganache Cheesecake,Bindi,,42.22,42.22,USD,per case,2026-01-24,bindi_products_db_2026,etl_migration_2026
Chocolate Temptation Cake,Bindi,,44.8,44.8,USD,per case,2026-01-25,bindi_products_db_2026,etl_migration_2026
Chocolate Temptation Cake,Bindi,Food Related,42.26,42.26,USD,per case,2026-01-26,bindi_products_db_2026,etl_migration_2026
Chocolate Temptation Cake,Bindi,French Bakery,40.95,40.95,USD,per case,2026-01-27,bindi_products_db_2026,etl_migration_2026
Chocolate Temptation Cake,Bindi,Greco & Sons,42.99,42.99,USD,per case,2026-01-28,bindi_products_db_2026,etl_migration_2026
Chocolate Temptation Cake,Bindi,Pointe Dairy,44.8,44.8,USD,per case,2026-01-29,bindi_products_db_2026,etl_migration_2026
Chocolate Temptation Cake,Bindi,Primizie,44.8,44.8,USD,per case,2026-01-30,bindi_products_db_2026,etl_migration_2026
Ricotta and Pistachio Cake,Bindi,,40.93,40.93,USD,per case,2026-02-02,bindi_products_db_2026,etl_migration_2026
Ricotta and Pistachio Cake,Bindi,Food Related,41.51,40.93,USD,per case,2026-02-03,bindi_products_db_2026,etl_migration_2026
Ricotta and Pistachio Cake,Bindi,French Bakery,40.95,40.93,USD,per case,2026-02-04,bindi_products_db_2026,etl_migration_2026
Chocolate Croissant,Bindi,Food Related,54.22,54.22,USD,per case,2026-03-04,bindi_products_db_2026,etl_migration_2026
Chocolate Croissant,Bindi,French Bakery,79.8,79.8,USD,per case,2026-02-09,bindi_products_db_2026,etl_migration_2026
Chocolate Croissant,Bindi,Greco & Sons,56.05,56.05,USD,per case,2026-03-05,bindi_products_db_2026,etl_migration_2026
Raspberry Passion Fruit Cake,Bindi,,41.75,41.75,USD,per case,2026-02-14,bindi_products_db_2026,etl_migration_2026
Sicilian Cannoli,Bindi,Food Related,34.55,34.55,USD,per case,2026-02-16,bindi_products_db_2026,etl_migration_2026
Sicilian Cannoli,Bindi,Primizie,36.31,36.31,USD,per case,2026-02-17,bindi_products_db_2026,etl_migration_2026
Vegan Croissant,Bindi,Greco & Sons,51.99,51.99,USD,per case,2026-02-21,bindi_products_db_2026,etl_migration_2026
All Butter Croissant,Bindi,,53.93,53.93,USD,per case,2026-02-23,bindi_products_db_2026,etl_migration_2026
All Butter Croissant,Bindi,Food Related,50.87,50.87,USD,per case,2026-02-24,bindi_products_db_2026,etl_migration_2026
All Butter Croissant,Bindi,French Bakery,53.0,53.0,USD,per case,2026-02-25,bindi_products_db_2026,etl_migration_2026
All Butter Croissant,Bindi,Greco & Sons,49.14,49.14,USD,per case,2026-02-26,bindi_products_db_2026,etl_migration_2026
All Butter Croissant,Bindi,Pointe Dairy,53.93,53.93,USD,per case,2026-02-27,bindi_products_db_2026,etl_migration_2026
All Butter Croissant,Bindi,Primizie,53.93,53.93,USD,per case,2026-02-28,bindi_products_db_2026,etl_migration_2026
All Butter Croissant,Bindi,IGF,53.93,53.93,USD,per case,2026-03-02,bindi_products_db_2026,etl_migration_2026
Chocolate Croissant,Bindi,,61.51,61.51,USD,per case,2026-03-03,bindi_products_db_2026,etl_migration_2026
Chocolate Croissant,Bindi,Pointe Dairy,61.51,61.51,USD,per case,2026-03-06,bindi_products_db_2026,etl_migration_2026
Chocolate Croissant,Bindi,Primizie,61.51,61.51,USD,per case,2026-03-07,bindi_products_db_2026,etl_migration_2026
Chocolate Croissant,Bindi,IGF,61.51,61.51,USD,per case,2026-03-08,bindi_products_db_2026,etl_migration_2026
Tiramisu,Bindi,Greco & Sons,40.99,40.99,USD,per case,2026-03-11,bindi_products_db_2026,etl_migration_2026
Tiramisu,Bindi,Pointe Dairy,42.64,42.64,USD,per case,2026-03-12,bindi_products_db_2026,etl_migration_2026
Tiramisu,Bindi,Primizie,42.64,42.64,USD,per case,2026-03-13,bindi_products_db_2026,etl_migration_2026
Pistachio Profiteroles,Bindi,French Bakery,40.0,39.53,USD,per case,2026-03-14,bindi_products_db_2026,etl_migration_2026
Blueberry and Chocolate Chips Vegan Croissant,Bindi,,67.44,67.44,USD,per case,2026-03-15,bindi_products_db_2026,etl_migration_2026
Pineapple Syrup,Bindi,Primizie,52.3,52.3,USD,per case,2026-03-17,bindi_products_db_2026,etl_migration_2026
Coconut Syrup,Bindi,Primizie,47.27,47.27,USD,per case,2026-03-19,bindi_products_db_2026,etl_migration_2026
Tiramisu,Bindi,,24.38,24.38,USD,per case,2026-06-22,bindi_products_db_2026,etl_migration_2026
Cake Torta Nocciola,Bindi,,39.77,39.77,USD,per case,2026-03-21,bindi_products_db_2026,etl_migration_2026
