id,name,category,purchase_unit,purchase_qty_std,recipe_unit,unit_type,current_price,purchase_price,is_active
1,Milk,dairy,case x 1 gal,128.000000,fl oz,liquid,5.2000,5.2000,True
2,Almond Milk,dairy,case,3838.900000,fl oz,liquid,35.5400,35.5400,True
3,Coconut Milk,dairy,case 12 x 32 oz,383.900000,fl oz,liquid,38.5000,38.5000,True
4,Cream Cheese,dairy,case x 100 units,100.000000,unit,each,49.1800,49.1800,True
5,Cheese Cheddar Sliced,dairy,case,400.000000,unit,each,41.6500,41.6500,True
6,Cheese Mozzarella Sliced,dairy,case,123.000000,unit,each,44.9500,44.9500,True
7,Crumbled Blue Cheese,dairy,case 2 x 5 lb,160.000000,oz,solid,37.7500,37.7500,True
8,Greek Yogurt,dairy,case 6 x 32 oz,191.900000,fl oz,liquid,94.6600,94.6600,True
9,Vanilla Gelato,dairy,case 12 x 1 kg,134.000000,oz,solid,222.9700,222.9700,True
10,Chocolate Gelato,dairy,case,134.000000,unit,each,204.1600,204.1600,True
11,Coconut Flakes,specialty,bag x 10 oz,10.000000,oz,solid,8.3900,8.3900,True
12,Cold Brew,coffee,case x 1 gal,128.000000,fl oz,liquid,70.4000,70.4000,True
13,Brewed Coffee,coffee,case x 1.5 gal,50.700000,fl oz,liquid,7.9300,7.9300,True
14,Nitro Cold Brew,coffee,case x 1 gal,128.000000,fl oz,liquid,36.0000,36.0000,True
15,Chai Tea Concentrate,tea,bottle x 750 ml,25.300000,fl oz,liquid,6.7500,6.7500,True
16,Tea Bag,tea,case x 3 gal,384.000000,fl oz,liquid,32.3600,32.3600,True
17,Green Tea,tea,case 6 x 20 units,120.000000,unit,each,32.4000,32.4000,True
18,Matcha,tea,case 4 x 1 kg,141.000000,oz,solid,491.0000,491.0000,True
19,Vanilla Syrup,syrups,bottle x 1 l,33.800000,fl oz,liquid,11.9900,11.9900,True
20,Rose Syrup,syrups,bottle x 750 ml,25.300000,fl oz,liquid,6.7400,6.7400,True
21,Coconut Syrup,syrups,bottle x 750 ml,25.300000,fl oz,liquid,6.7500,6.7500,True
22,Hazelnut Syrup,syrups,bottle x 750 ml,25.300000,fl oz,liquid,6.7500,6.7500,True
23,Dragon Fruit Syrup,syrups,bottle x 750 ml,25.300000,fl oz,liquid,6.7500,6.7500,True
24,White Lotus,fruit_concentrate,bottle x 64 oz,64.000000,fl oz,liquid,29.7100,29.7100,True
25,Strawberry Fruit Fusion,fruit_concentrate,bottle x 64 oz,64.000000,fl oz,liquid,19.0000,19.0000,True
26,Blue Raspberry Fruit Fusion,fruit_concentrate,bottle x 64 oz,64.000000,fl oz,liquid,19.0000,19.0000,True
27,Mango Passion Fruit Fusion,fruit_concentrate,bottle x 64 oz,64.000000,fl oz,liquid,19.0000,19.0000,True
28,Pina Colada Fruit Fusion,fruit_concentrate,bottle x 64 oz,64.000000,fl oz,liquid,19.0000,19.0000,True
29,Watermelon Fruit Fusion,fruit_concentrate,bottle x 64 oz,64.000000,fl oz,liquid,19.0000,19.0000,True
30,Orange Creamsicle Fruit Fusion,fruit_concentrate,bottle x 64 oz,64.000000,fl oz,liquid,19.0000,19.0000,True
31,Cream Base,fruit_concentrate,bottle x 64 oz,64.000000,fl oz,liquid,19.9900,19.9900,True
32,Strawberry Fruit Puree,fruit_concentrate,bottle x 1 l,33.800000,fl oz,liquid,15.0000,15.0000,True
33,Chocolate Sauce,sauces,case,64.000000,fl oz,liquid,23.4900,23.4900,True
34,Pesto,sauces,case 3 x 30 oz,89.900000,fl oz,liquid,60.0900,60.0900,True
