id,product_id,product_name,ingredient_id,ingredient_name,quantity,recipe_unit,scales_with_size
3,1,Iced Latte,1,Milk,8.000000,oz,True
4,1,Iced Latte,19,Vanilla Syrup,4.000000,pump,True
2,1,Iced Latte,158,Espresso,2.000000,shot,True
1,1,Iced Latte,159,Ice Cubes,9.000000,oz,True
5,2,Chocolate Croissant,74,Chocolate Croissant,1.000000,unit,False
7,3,Caffe Latte,1,Milk,12.000000,oz,True
8,3,Caffe Latte,19,Vanilla Syrup,4.000000,pump,True
6,3,Caffe Latte,158,Espresso,2.000000,shot,True
11,4,Cheddar and Crisp Sandwich,5,Cheese Cheddar Sliced,1.000000,slice,False
10,4,Cheddar and Crisp Sandwich,61,Scrambled Egg Patty,1.000000,unit,False
12,4,Cheddar and Crisp Sandwich,62,Turkey Bacon,3.000000,slice,False
9,4,Cheddar and Crisp Sandwich,67,Bread,1.000000,unit,False
14,5,Iced Latte Coconut,1,Milk,7.000000,oz,True
18,5,Iced Latte Coconut,11,Coconut Flakes,1.000000,sprinkle,False
16,5,Iced Latte Coconut,21,Coconut Syrup,4.000000,pump,True
15,5,Iced Latte Coconut,158,Espresso,2.000000,shot,True
13,5,Iced Latte Coconut,159,Ice Cubes,7.000000,oz,False
17,5,Iced Latte Coconut,165,Cold Foam Coconut,2.500000,oz,False
21,6,Turkey Bacon al Fresco Sandwich,6,Cheese Mozzarella Sliced,2.000000,slice,False
20,6,Turkey Bacon al Fresco Sandwich,34,Pesto,1.000000,tablespoon,False
19,6,Turkey Bacon al Fresco Sandwich,68,Focaccia,1.000000,unit,False
24,7,Italian Rustic Sandwich,5,Cheese Cheddar Sliced,2.000000,slice,False
25,7,Italian Rustic Sandwich,39,Olive Oil,1.000000,drizzle,False
26,7,Italian Rustic Sandwich,51,Seasoning Mix,1.000000,sprinkle,False
22,7,Italian Rustic Sandwich,62,Turkey Bacon,3.000000,slice,False
23,7,Italian Rustic Sandwich,67,Bread,1.000000,unit,False
28,8,Turkey Bacon Formaggio Sandwich,4,Cream Cheese,1.000000,tablespoon,False
30,8,Turkey Bacon Formaggio Sandwich,5,Cheese Cheddar Sliced,1.000000,slice,False
29,8,Turkey Bacon Formaggio Sandwich,6,Cheese Mozzarella Sliced,2.000000,slice,False
32,8,Turkey Bacon Formaggio Sandwich,60,Sliced Pickles,4.000000,slice,False
31,8,Turkey Bacon Formaggio Sandwich,62,Turkey Bacon,3.000000,slice,False
27,8,Turkey Bacon Formaggio Sandwich,68,Focaccia,1.000000,unit,False
37,9,Iced Latte Matcha,1,Milk,8.000000,oz,True
33,9,Iced Latte Matcha,18,Matcha,3.000000,tablespoon,True
35,9,Iced Latte Matcha,19,Vanilla Syrup,2.000000,pump,True
34,9,Iced Latte Matcha,52,Water,2.000000,oz,False
36,9,Iced Latte Matcha,159,Ice Cubes,9.000000,oz,False
40,10,Pesto Pomodoro Sandwich,6,Cheese Mozzarella Sliced,3.000000,slice,False
39,10,Pesto Pomodoro Sandwich,34,Pesto,1.000000,tablespoon,False
42,10,Pesto Pomodoro Sandwich,39,Olive Oil,1.000000,drizzle,False
44,10,Pesto Pomodoro Sandwich,51,Seasoning Mix,1.000000,sprinkle,False
43,10,Pesto Pomodoro Sandwich,54,Arugula,1.000000,handful,False
41,10,Pesto Pomodoro Sandwich,55,Sliced Tomato,3.000000,slice,False
38,10,Pesto Pomodoro Sandwich,68,Focaccia,1.000000,unit,False
47,11,Salmone Fresco Sandwich,4,Cream Cheese,1.000000,tablespoon,False
49,11,Salmone Fresco Sandwich,38,Lemon Juice,1.000000,drizzle,False
50,11,Salmone Fresco Sandwich,39,Olive Oil,1.000000,drizzle,False
48,11,Salmone Fresco Sandwich,54,Arugula,1.000000,handful,False
46,11,Salmone Fresco Sandwich,59,Capers,1.000000,tablespoon,False
45,11,Salmone Fresco Sandwich,64,Smoked Salmon,2.000000,slice,False
51,11,Salmone Fresco Sandwich,68,Focaccia,1.000000,unit,False
54,12,Sandwich Caprese al Croissant,6,Cheese Mozzarella Sliced,2.000000,slice,False
56,12,Sandwich Caprese al Croissant,37,Balsamic Vinegar,1.000000,drizzle,False
57,12,Sandwich Caprese al Croissant,39,Olive Oil,1.000000,drizzle,False
58,12,Sandwich Caprese al Croissant,51,Seasoning Mix,1.000000,sprinkle,False
53,12,Sandwich Caprese al Croissant,55,Sliced Tomato,2.000000,slice,False
55,12,Sandwich Caprese al Croissant,56,Basil,4.000000,leaf,False
52,12,Sandwich Caprese al Croissant,67,Bread,1.000000,unit,False
59,13,All Butter Croissant,75,All Butter Croissant,1.000000,unit,False
60,14,Spinach and Feta Danish,81,Spinach and Feta Danish,1.000000,unit,False
62,15,Drip Coffee,13,Brewed Coffee,16.000000,oz,True
61,15,Drip Coffee,19,Vanilla Syrup,4.000000,pump,True
64,16,Cappuccino,1,Milk,6.000000,oz,True
65,16,Cappuccino,19,Vanilla Syrup,4.000000,pump,True
63,16,Cappuccino,158,Espresso,2.000000,shot,True
69,17,Qargo Classic Sandwich,5,Cheese Cheddar Sliced,1.000000,slice,False
68,17,Qargo Classic Sandwich,61,Scrambled Egg Patty,1.000000,unit,False
67,17,Qargo Classic Sandwich,63,Turkey Sausage Patty,1.000000,unit,False
66,17,Qargo Classic Sandwich,67,Bread,1.000000,unit,False
71,18,Frappe Italian Coffee,1,Milk,4.000000,oz,True
72,18,Frappe Italian Coffee,19,Vanilla Syrup,4.000000,pump,True
76,18,Frappe Italian Coffee,33,Chocolate Sauce,1.000000,pump,False
73,18,Frappe Italian Coffee,40,Vanilla Powder,1.500000,scoop,True
70,18,Frappe Italian Coffee,158,Espresso,2.000000,shot,True
74,18,Frappe Italian Coffee,159,Ice Cubes,12.000000,oz,False
75,18,Frappe Italian Coffee,160,Whipped Cream,1.000000,rosette,False
83,19,Salmone Mattina Sandwich,38,Lemon Juice,1.000000,drizzle,False
82,19,Salmone Mattina Sandwich,39,Olive Oil,1.000000,drizzle,False
81,19,Salmone Mattina Sandwich,54,Arugula,1.000000,handful,False
79,19,Salmone Mattina Sandwich,57,Avocado,2.000000,tablespoon,False
78,19,Salmone Mattina Sandwich,61,Scrambled Egg Patty,1.000000,unit,False
80,19,Salmone Mattina Sandwich,64,Smoked Salmon,2.000000,slice,False
77,19,Salmone Mattina Sandwich,71,Plain Bagel,1.000000,unit,False
85,20,Iced Mocha,1,Milk,8.000000,oz,True
87,20,Iced Mocha,33,Chocolate Sauce,2.000000,pump,True
86,20,Iced Mocha,158,Espresso,2.000000,shot,True
84,20,Iced Mocha,159,Ice Cubes,9.000000,oz,False
88,20,Iced Mocha,160,Whipped Cream,1.000000,rosette,False
90,21,Iced Latte Macchiato,1,Milk,8.000000,oz,True
