id,name,category,conversion_factor,purchase_unit,usage_unit,canonical_unit,purchase_price,current_price,yield_percentage
36,Mayonnaise,sauces,60567.000000,Case 4 × 4 gal,oz,L,42.7300,42.7300,1.000
34,Pesto,sauces,17981.000000,Canister 38 lb,oz,kg,60.0900,60.0900,1.000
35,Mustard,sauces,12421.000000,case,oz,kg,29.0000,29.0000,1.000
39,Olive Oil,sauces,12000.000000,case,ml,L,108.4900,108.4900,1.000
2,Almond Milk,dairy,11356.000000,case,ml,L,31.1100,31.1100,1.000
163,Brewed Tea,tea,11356.000000,3 gal,ml,L,0.2400,0.2400,1.000
3,Coconut Milk,dairy,11356.000000,Case 12 × 32 oz,L,L,39.4800,39.4800,1.000
165,Cold Foam Coconut,dairy,11356.000000,Case 12 × 32 oz,ml,L,40.6900,40.6900,1.000
103,Cacao Muffin,bakery,11339.800000,case,g,kg,33.7300,33.7300,1.000
100,Chocolate Chip Muffin,bakery,11339.800000,case,g,kg,21.8300,21.8300,0.980
101,Pistachio Muffin,bakery,11339.800000,case,g,kg,33.7300,33.7300,1.000
158,Espresso,coffee,6000.000000,Bag 6kg,g,kg,188.1600,188.1600,1.000
13,Brewed Coffee,coffee,5678.000000,1.5 gal,L,L,7.9300,7.9300,1.000
38,Lemon Juice,sauces,5678.000000,case,ml,L,32.2500,32.2500,1.000
37,Balsamic Vinegar,sauces,5000.000000,case,ml,L,21.1400,21.1400,1.000
43,Icing Sugar,powders,4536.000000,case,lb,kg,22.4900,22.4900,1.000
591,Arrezzio - Evoo - Oil Olive - Robusto Tin,Ingredients,3785.000000,case,ml,,59.9500,59.9500,1.000
164,Cappuccino Foam,dairy,3785.000000,1 gal,ml,L,4.8700,4.8700,1.000
159,Ice Cubes,beverages,3785.000000,1 gal,g,kg,0.1000,0.1000,1.000
1,Milk,dairy,3785.000000,1 gal,ml,L,5.2000,5.2000,1.000
52,Water,beverages,3785.000000,1 gal,L,L,19.0000,19.0000,1.000
4,Cream Cheese,dairy,2800.000000,100 units,unit,unit,38.4500,38.4500,1.000
48,Chia Seeds,specialty,2268.000000,case,lb,kg,37.4900,37.4900,1.000
7,Crumbled Blue Cheese,dairy,2267.000000,case,g,kg,37.7500,37.7500,1.000
44,Whey Protein,powders,2267.000000,Container 5 lb,g,kg,89.7500,89.7500,1.000
26,Blue Raspberry Fruit Fusion,fruit_concentrate,1893.000000,bottle,L,L,19.0000,19.0000,0.980
33,Chocolate Sauce,sauces,1893.000000,case,oz,kg,23.4900,23.4900,0.980
31,Cream Base,fruit_concentrate,1893.000000,bottle,L,L,19.9900,19.9900,0.980
27,Mango Passion Fruit Fusion,fruit_concentrate,1893.000000,bottle,L,L,19.0000,19.0000,0.980
30,Orange Creamsicle Fruit Fusion,fruit_concentrate,1893.000000,bottle,L,L,19.0000,19.0000,0.980
28,Pina Colada Fruit Fusion,fruit_concentrate,1893.000000,bottle,L,L,19.0000,19.0000,0.980
25,Strawberry Fruit Fusion,fruit_concentrate,1893.000000,bottle,L,L,19.0000,19.0000,0.980
29,Watermelon Fruit Fusion,fruit_concentrate,1893.000000,bottle,L,L,19.0000,19.0000,0.980
